Name;Type;Pieces;Location;Style;i1;i2;i3;i4;i5;
Blood Spawn;Monster;Head/Shoulder;Spindleclutch ||;;Adds 129 Stamina Recovery;When you take damage, you have a 6% chance to generate 15 Ultimate and increase your Physical and Spell Resistance by 6450 for 6 seconds. This effect can occur once every 6 seconds.;;;;
Chokethorn;Monster;Head/Shoulder;Elden Hollow I;;Adds 129 Magicka Recovery;When you use a heal ability, you have a 15% chance to summon a strangler sapling that heals you or an ally for 19565 Health over 4 seconds. This effect can occur once every 10 seconds.;;;;
Engine Guardian;Monster;Head/Shoulder;Darkshade Caverns ||;;Adds 129 Health Recovery;When you use an ability, you have a 10% to summon a dwemer automation to restore 1204 Health, Stamina, or Magicka every 0.5 seconds for 6.5 seconds.;;;;
Grothdarr;Monster;Head/Shoulder;Vaults of Madness;;Adds 967 Maximum Magicka;When you deal damage, you have a 10% chance to create lava pools that swirl around you, dealing 2000 Flame Damage to all enemies within 8 meters of you every 1 second for 5 seconds. This effect can occur once every 10 seconds.;;;;
Iceheart;Monster;Head/Shoulder;Direfrost Keep;;Adds 688 Spell Critical;When you deal Critical Damage, you have a 20% chance to gain a damage shield that absorbs 8600 damage for 6 seconds. While the damage shield holds, you deal 770 Cold damage to all enemies within 5 meters of you every |;;;;
Ilambris;Monster;Head/Shoulder;Crypt of Hearts I;;Adds 967 Maximum Magicka;When you deal Flame or Shock Damage, you have a 10% chance to summon a meteor shower of that damage type that deals 1300 Damage to all enemies within 4 meters every 1 second for 5 seconds. Each effect can occur once every 8 seconds.;;;;
Infernal Guardian;Monster;Head/Shoulder;City of Ash I;;Adds 967 Maximum Magicka;When you use a damage shield ability, you have a 50% chance to lob 3 mortars over 2 seconds at the furthest enemy from you that each deal 5500 Flame Damage to all enemies within 5 meters of the blast area. This effect can occur once every 6 seconds.;;;;
Kra'gh;Monster;Head/Shoulder;Fungal Grotto I;;Adds 1935 Physical Penetration;When you deal damage, you have a 10% chance to spawn dreugh limbs that creates shockwaves in front of you dealing 1300 Physical Damage every 0.4 seconds for 1.2 seconds. This effect can occur once every 3 seconds.;;;;
Lord Warden;Monster;Head/Shoulder;Imperial City Prison;;Adds 1935 Spell Resistance;When you take damage, you have a 50% chance to summon a shadow orb for 10 seconds that increases the Physical and Spell Resistance of you and your allies within 5 meters by 3870. This effect can occur once every 10 seconds.;;;;
Maw of the Infernal;Monster;Head/Shoulder;Banished Cells ||;;Adds 1064 Maximum Health;When you deal damage with a Light of Heavy Attack, you have a 10% chance to summon a fire breathing Daedroth for 15 seconds. The Daedroth's basic attacks deal 4257 Physical Damage. This effect can occur once every 15 seconds.;;;;
Mighty Chudan;Monster;Head/Shoulder;Ruins of Mazzatun;;Adds 1376 Spell Resistance\nAdds 1376 Physical Resistance;Gain Major Ward and Major Resolve at all times, increasing your Physical and Spell Resistance by 5280.\nAdds 1064 Maximum Health;;;;
Molag Kena;Monster;Head/Shoulder;White-Gold Tower;;Adds 129 Weapon Damage\nAdds 129 Spell Damage;When you deal damage with 2 consecutive Light Attacks you trigger Overkill for 6 seconds, which increases your Weapon and Spell Damage by 516 but also increases the cost of your abilities by 33%.;;;;
Nerien'eth;Monster;Head/Shoulder;Crypt of Hearts II;;Adds 1064 Maximum Health;When you deal direct damage, you have a 10% chance to summon a Lich crystal that explodes after 3 seconds, dealing 7335 Magic Damage to all enemies within 4 meters. This effect can occur once every 3 seconds.;;;;
Nightflame;Monster;Head/Shoulder;Elden Hollow II;;Adds 1064 Maximum Health;When you heal a friendly target, you have a 3% chance to summon a totem for 6 seconds that heals you and your allies within 5 meters for 3483 Health every 1 second. This effect can occur once every 6 seconds.;;;;
Pirate Skeleton;Monster;Head/Shoulder;Blackheart Haven;;Adds 1935 Physical/Spell Resistance;When you take damage, you have a 6% chance to transform into a skeleton and gain Major Protection and Minor Defile for 12 seconds, reducing your damage taken by 30% but reducing your healing receieved by 15%. This effect can occur once every 15 seconds.;;;;
